cell,subtype,n,n_distinct_triples,accuracy,precision,recall,f1
A,action,558,162,0.6057347670250897,0.5645514223194749,0.9247311827956989,0.7010869565217391
A,state,3300,512,0.5790909090909091,0.5804066543438078,0.5709090909090909,0.5756186984417965
B,action,558,162,0.8279569892473119,0.8279569892473119,0.8279569892473119,0.8279569892473119
B,state,3300,512,0.7587878787878788,0.7587878787878788,0.7587878787878788,0.7587878787878788
C,action,558,162,0.7025089605734767,0.6982456140350877,0.7132616487455197,0.7056737588652482
C,state,3300,512,0.5803030303030303,0.6218951241950322,0.40969696969696967,0.49397150164413584
D,action,558,162,0.8817204301075269,0.8817204301075269,0.8817204301075269,0.8817204301075269
D,state,3300,512,0.7933333333333333,0.7933333333333333,0.7933333333333333,0.7933333333333333
Ap,action,558,162,0.6111111111111112,0.5701357466063348,0.9032258064516129,0.6990291262135923
Ap,state,3300,512,0.5712121212121212,0.5790181573638198,0.5218181818181818,0.5489321007331845
Cp,action,558,162,0.7007168458781362,0.6465968586387435,0.8853046594982079,0.7473524962178518
Cp,state,3300,512,0.5718181818181818,0.5765998707175177,0.5406060606060606,0.5580231467000312
