subset,label,n,accuracy,precision,recall,f1,predicted_yes,gold_yes,ci_low,ci_high,coverage_rate
ALL,ALL: D    on ALL pairs,3858,0.8061171591498185,0.8061171591498185,0.8061171591498185,0.8061171591498185,1929,1929,0.787924915793638,0.823560696138491,0.9193882840850182
ALL,ALL: D    on covered subset,3547,0.8102621934028756,0.8089569160997733,0.8094157685762904,0.809186277289481,1764,1763,0.791808671631273,0.8285154985940538,0.9193882840850182
ALL,ALL: D-ext on covered subset,3547,0.7620524386805752,0.7409543786051389,0.8014747589336358,0.7700272479564032,1907,1763,0.7445736403871458,0.7796993650521258,0.9193882840850182
ALL,ALL: A    on covered subset,3547,0.5793628418381731,0.5732036736898973,0.6018150879183211,0.5871610403984504,1851,1763,0.5688652970524667,0.589855104329981,0.9193882840850182
state,state: D    on ALL pairs,3300,0.7933333333333333,0.7933333333333333,0.7933333333333333,0.7933333333333333,1650,1650,0.7735042735042735,0.8132680681435869,0.9415151515151515
state,state: D    on covered subset,3107,0.7998068876729965,0.8010302640051513,0.7989723827874117,0.7999999999999999,1553,1557,0.779610185578622,0.8200962994367391,0.9415151515151515
state,state: D-ext on covered subset,3107,0.753781783070486,0.7362768496420048,0.7925497752087347,0.7633776678008042,1676,1557,0.7348870779206571,0.772925940500773,0.9415151515151515
state,state: A    on covered subset,3107,0.5806243965239781,0.5850066934404283,0.5613359023763648,0.572926909210095,1494,1557,0.5695706953091977,0.5919923218030929,0.9415151515151515
action,action: D    on ALL pairs,558,0.8817204301075269,0.8817204301075269,0.8817204301075269,0.8817204301075269,279,279,0.8428571428571429,0.9175627240143369,0.7885304659498208
action,action: D    on covered subset,440,0.884090909090909,0.8672985781990521,0.8883495145631068,0.8776978417266188,211,206,0.8426940282979608,0.9220191148525776,0.7885304659498208
action,action: D-ext on covered subset,440,0.8204545454545454,0.7748917748917749,0.8689320388349514,0.8192219679633866,231,206,0.7783129688565583,0.8594479489310266,0.7885304659498208
action,action: A    on covered subset,440,0.5704545454545454,0.5238095238095238,0.9077669902912622,0.6642984014209591,357,206,0.5393512016229713,0.6027397260273972,0.7885304659498208
